,node1Name,node2Name,NodeType1,NodeType2,pcor,pval,qval,prob
12828,CMAP.up.308_sulindacsulfide_5.00e-05_MCF7_up,Pathway.Phenylalanine metabolism (KEGG),CMAP_UP,Pathway,-0.037922755795763,0.000739482001892888,0.012800141551403,0.905183726120142
12839,CMAP.up.22_phenylbiguanide_1.00e-05_MCF7_up,Pathway.Striated Muscle Contraction (Wikipathways),CMAP_UP,Pathway,0.0379041410483682,0.000743947969424674,0.0128669551999733,0.905183726120142
12592,CMAP.up.141_chlorpropamide_1.00e-04_MCF7_up,CMAP.up.317_N-phenylanthranilicacid_1.00e-05_MCF7_up,CMAP_UP,CMAP_UP,0.0383647636005059,0.00064047908163456,0.0112958625751409,0.90786734276133
12597,CMAP.up.262_indometacin_2.00e-05_MCF7_up,CMAP.up.312_staurosporine_1.00e-06_MCF7_up,CMAP_UP,CMAP_UP,0.0383490189112213,0.000643782838641638,0.0113469534645454,0.90786734276133
12636,CMAP.up.310_fulvestrant_1.00e-08_MCF7_up,CMAP.up.316_flufenamicacid_1.00e-05_MCF7_up,CMAP_UP,CMAP_UP,0.0382716102604867,0.000660257461500446,0.0116007640154114,0.90786734276133
12651,CMAP.up.206_celecoxib_1.00e-05_MCF7_up,Pathway.Phenylalanine metabolism (KEGG),CMAP_UP,Pathway,-0.0382328508732347,0.000668652961113292,0.011729493893882,0.90786734276133
12752,CMAP.up.121_estradiol_1.00e-08_MCF7_up,CMAP.up.165_exemestane_1.00e-08_MCF7_up,CMAP_UP,CMAP_UP,-0.0380580740120364,0.000707757748250604,0.0123237127073323,0.90786734276133
12780,CMAP.up.335_nifedipine_1.00e-05_MCF7_up,CMAP.up.336_nitrendipine_1.00e-05_MCF7_up,CMAP_UP,CMAP_UP,0.0380155544774808,0.00071758722432369,0.0124716982318355,0.90786734276133
12458,CMAP.up.201_15-deltaprostaglandinJ2_1.00e-05_MCF7_up,Pathway.Sandbox Pathway (Wikipathways),CMAP_UP,Pathway,-0.0386401133891122,0.000585191204945268,0.0104328395258725,0.911645646066785
12373,CMAP.up.165_exemestane_1.00e-08_MCF7_up,CMAP.up.335_nifedipine_1.00e-05_MCF7_up,CMAP_UP,CMAP_UP,-0.0388084371952363,0.000553616100252174,0.00993536409676786,0.914876889385482
12397,CMAP.up.166_rofecoxib_1.00e-05_MCF7_up,Pathway.Striated Muscle Contraction (Wikipathways),CMAP_UP,Pathway,-0.0387645840542425,0.000561685842523918,0.0100630656192174,0.914876889385482
12157,CMAP.up.166_rofecoxib_1.00e-05_MCF7_up,CMAP.up.207_LM-1685_1.00e-05_MCF7_up,CMAP_UP,CMAP_UP,0.0392030203883847,0.00048571108965989,0.00886531489138575,0.931369518287025
12240,CMAP.up.169_tacrolimus_1.00e-06_MCF7_up,CMAP.up.206_celecoxib_1.00e-05_MCF7_up,CMAP_UP,CMAP_UP,-0.0390461363837634,0.000511722193583974,0.00927590839265236,0.931369518287025
12248,CMAP.up.325_monorden_1.00e-07_MCF7_up,CMAP.up.333_diclofenac_1.00e-05_MCF7_up,CMAP_UP,CMAP_UP,-0.039039517019724,0.000512847709059905,0.0092935477079832,0.931369518287025
